Plot information,,,,,,,,,,temp,,precip,Field management (2017),,,,,,,,,,Crop biodiversity,,,,,,,,,,,,,Crop 2017 information,,,,Phytometer trial yield (i.e. yield potential) and nutrient content,,,,,,,,,Soil Moisture at sampling,Soil fungal diversity,,,,,,Soil bacterial diversity,,,,,Soil archae diversity,,,,,,,,Soil protist diversity,,,,,,Soil measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qPCR,,,,,,,,,,,,,,,,,,,,,,
Sample_No,Sample_ID,Florine_naming_arch_missing_highlighted,Country,Region,Plot_ID,Lat,Long,Treatment_main,Treatment_minor,avg_temp_longterm,,avg_precip_longterm,tillage_no_times,tillage_depth_max_cm,fertilizer_min_app_no,fertilizer_min_N_amount,fertilizer_org_app_no,fertilizer_organic_N_tot_amount,fertilizer_organic_N_min_amount,herb_no_app,fung_no_app,insect_no_app,Richness,S_year,CDI,Simpson,invSimpson,Shannon,pd,mpd,mpdw,mntd,raoD,sp_2017,idem_2017,Crop_2017,grain_yield,std_yield_country,std_yield_network,Phyt_shoot,Phyt_root,Phyt_tot,P_%_shoots,P_tot_shoots_mg,N_%_shoots,N_tot_shoots_mg,C_%_shoots,C_tot_shoots_mg,Soil_Moisture_Field_at_sampling,Richness,Chao1,ACE,Shannon,InvSimpson,pielou,PD_whole_tree,Chao1,Observed species,Shannon,InvSimpson,Richness,S.chao1,se.chao1,S.ACE,se.ACE,Shannon,InvSimpson,Pielou,cerco_sobs,cerco_Chao1,cerco_ACE,cerco_shannon,cerco_InvSimpson,cerco_pielou,Sand,Silt,Clay,WHC,CEC,Magnesium,Calcium,bulk_density,MWD,C_tot_%,C_tot_mg,N_tot_%,N_tot_mg,P_tot_mg,P_Olsen,pH,Humus_%,Organic_C_%,CaCO3_%,C_microbial,N_microbial,P_resin,P_microbial,basal_respiration,C_org_mg,XYL,BG,AG,NAG,CB,PHOS,LAP,NH4,DIN,TAN,NO3,DON,AMP,NIP,DEP,MIN,NTR,PDA,C_ENZ,N_ENZ,hzo,NifH,nrfA,NIB,NIS,16S,NirK,NirS,nosZ2,nosZ1,AOA,AOB,ITS,Cren,%niK,%nirS,nirK/nirS,%nosZ2,%nosZ1,nosZ2/nosZ1,%AOB,AOA/AOB,16S/ITS
43,FR10,043FRAcrLOWmaug,France,Maugio,MA6,43.615201,3.975673,Agriculture ,Conventional ,13.9,15.5,746,1,20,3,182,0,0,0,1,,0,5,1.5,7.5,0.663668639,2.973258269,1.326471759,549.99086,240.672534,214.8749782,150.34456,107.4374891,durum_wheat,2,wheat,4.7,0.695574959,0.787929589,1.37,0.67,2.04,0.09,1.25,1.28,17.6,39.65,543.19,0.088,157,184.045,185.003,4.171,39.438,0.825,145.3355845,4023.477218,2361,9.474607332,148.3348494,84,104,13.5,99.46,4.96,2.53,7.16,0.57,337,393.95,392.116,4.97,73.58,0.854,21.3,42.8,34.5,0.463,22.58,0.78,0.51,1.38,0.64,5.91,59100,0.094,940,348.57,18.5,8.05,1.41,0.82,42.2,218.945,19.158,6.993096723,2.091018057,0.4031,8200,5.747574272,27.72135882,5.053719255,3.360382606,4.375814927,83.88319288,225.7918427,0.922940404,3.46286249,18.32055264,2.539922086,14.85769015,-0.057787271,7.960289821,-4.829193106,7.151268024,2.322074918,1,1.029563215,5.499653407,25.00059155,413.0244434,6012.376187,NA,1237.734492,1676376.938,46146.19602,33917.01172,52363.03354,43829.34766,24451.41406,4467.661987,100697.2702,109965.1055,0.027527339,0.02023233,1.360561962,0.031235835,0.026145282,1.194702553,0.00266507,5.472977618,16.64768999
44,FR11,044FRAcrLOWmaug,France,Maugio,CA28A,43.6139,3.97918,Agriculture ,Conventional ,13.9,15.5,746,1,20,5,282,0,0,0,0,1,0,3,1.2,3.6,0.568359375,2.316742081,0.925756418,494.10139,329.4009267,204.0761482,282.2352533,102.0380741,durum_wheat,2,wheat,4.7,0.695574959,0.787929589,2.31,1.84,4.15,0.06,1.44,1.03,23.892,39.91,921.81,0.064,175,199.895,212.166,4.043,29.815,0.783,150.619309,4400.172949,2528,9.698244265,230.2122138,79,94.6,11.64,89.16,4.61,2.43,5.34,0.56,374,440.733,437.407,5.057,80.26,0.854,38,33.6,27.2,0.424,17.34,0.6,0.6,1.24,0.47,5.23,52300,0.092,920,349.3,12.62,8.09,1.18,0.68,36.7,128.378,14.799,2.846097002,2.028784692,0.453620833,6800,6.366583964,30.22127133,4.440214012,5.387032553,4.49350637,80.45511974,238.9027796,2.922157728,3.447775427,16.14491488,0.525617699,12.69713945,-0.196698981,16.15109798,-5.322349019,13.39731225,8.074963229,2,1.092517816,5.862955492,39.6532205,417.3867281,4577.666871,NA,1027.06732,1523454.188,60309.3267,43820.40039,40428.41845,53310.48633,33942.16895,4324.076172,155315.4235,127034.9883,0.039587227,0.028763845,1.376284246,0.026537338,0.034993167,0.758357712,0.002838337,7.849577019,9.808775931
45,FR12,045FRAgrGRAmaug,France,Maugio,MA9J,43.6173,3.9749,Grassland,Grassland,13.9,15.5,746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2.87,1.36,4.23,0.13,3.71,1.31,37.485,40.37,1158.7,0.071,152,182.565,180.15,3.835,23.283,0.763,150.6945431,4277.036446,2496,9.827266931,326.6121413,74,85,8.47,81.92,4.44,2.43,7.28,0.56,345,447.692,439.943,4.858,55.691,0.831,40.9,35.6,21.6,0.475,16.87,0.97,0.85,1.54,2.07,5.37,53700,0.111,1110,585.33,25.57,7.96,1.86,1.08,34,289.385,29.678,8.36432455,6.436754207,0.979558333,10800,15.2960976,48.13665793,10.2380074,7.392216982,9.729479293,103.0663405,222.8262475,0.246162555,2.980076463,19.09457761,2.733913908,16.11450115,-0.01758304,23.3142824,-0.893350362,23.06811985,22.17476949,7.2,2.001605813,5.525243148,146.6531159,428.965076,5226.886709,52.54877854,660.8379135,1434630.438,62780.44318,40888.4668,46534.61319,50949.11914,11186.94141,3803.299438,195726.2908,45029.09375,0.043760708,0.028501045,1.535407123,0.032436655,0.035513759,0.913354617,0.002651066,2.941378029,7.329778903
46,FR13,046FRAcrHIGfena,France,Fenay,1411,47.1357,5.53039,Agriculture,Conventional,10.6,11.3,895,6,15,2,124,80,0,0,0,1,0,4,1.4,5.6,0.660186471,2.942790426,1.207210749,613.26695,306.90527,226.0526398,271.25922,113.0263199,winter_wheat,3,wheat,4.3,0.63637709,0.720871752,2.33,1.27,3.6,0.09,2.2,1.41,32.839,39.78,926.8,0.14,132,156.167,152.371,3.529,16.615,0.723,154.8940625,4220.117521,2528,9.797141827,273.7705215,80,92,7.96,93.79,4.9,1.78,2.76,0.41,301,349.065,356.164,4.477,41.938,0.784,10.9,46.5,40.1,0.59,37.42,0.66,0.38,1.06,1.18,1.9,19000,0.173,1730,416.94,11.13,7.87,2.5,1.45,0.5,349.617,34.067,1.121239115,4.022137903,0.658204167,14500,15.70231773,57.56955064,9.013349457,5.717863848,7.829887774,42.67942717,81.63352567,4.197922869,4.654740494,25.37045577,0.456817625,20.71571527,-0.299851633,10.98710137,-12.47930803,6.789178504,-5.690129529,11,2.162762534,2.096433348,111.2312016,704.4788225,3789.480618,28.47023994,954.2441259,1507720.375,57644.74716,39679.31445,57090.99466,52787.59766,27641.94727,4813.77063,104494.9838,115101.9063,0.038233049,0.026317423,1.452765703,0.037865771,0.03501153,1.08152288,0.003192748,5.742265137,14.42863878
47,FR14,047FRAcrLOWfena,France,Fenay,1351,47.135861,5.52108,Agriculture ,Conventional ,10.6,11.3,895,1,,3,186,0,0,0,2,1,1,3,1.9,5.7,0.6624,2.962085308,1.092019287,379.66853,253.1123533,174.7725875,129.6581067,87.38629373,winter_wheat,3,wheat,7.5,1.109960041,1.257334451,1.64,1.09,2.73,0.1,1.59,1.65,27.078,39.98,655.66,0.12,182,247.556,239.467,3.904,25.555,0.75,153.434076,4383.884793,2565,10.04485228,469.0467884,69,86.5,12.14,83.83,4.66,1.51,2.16,0.36,374,528.688,466.714,4.978,78.333,0.84,10.4,52.8,34.4,0.533,30.47,0.34,0.48,1.16,2.37,1.69,16900,0.155,1550,676.28,34.29,7.83,2.37,1.37,3.7,266.016,32.186,9.660121551,7.443864964,0.652579167,13700,9.932411588,31.32152593,6.339365909,8.928498,17.59517298,67.91556524,139.8093524,2.657669833,6.751842298,20.57986877,4.094172466,13.82802648,-0.170583579,30.706588,3.583962738,28.31841789,31.90238063,10,1.564523434,3.56970841,134.710441,753.0749873,5647.364204,25.27041341,1113.764908,1561041,77024.96875,52058.79688,70936.24238,71092.07422,32421.5166,8360.2229,70523.81588,112771.8984,0.049342054,0.03334877,1.479576428,0.045441627,0.045541452,0.997808028,0.005355543,3.878068442,22.13494804
48,FR15,048FRAcrLOWfena,France,Fenay,1321,47.131621,5.53161,Agriculture ,Conventional ,10.6,11.3,895,1,22,3,204,0,0,0,6,2,0,4,1.6,6.4,0.693599293,3.263700041,1.278147171,380.65235,252.4063167,178.9038161,4.08575,89.45190804,winter_wheat,1,wheat,8.2,1.213556312,1.374685666,2.92,2,4.92,0.09,2.61,1.74,50.904,40.37,1178.81,0.099,153,190.276,196.229,3.581,17.862,0.712,161.2089976,4640.859611,2680,10.00822702,359.293528,73,82.75,7.2,84.14,4.48,2.28,4.87,0.53,425,484.085,480.79,5.11,77.621,0.844,6.8,55,36.3,0.497,25.61,0.91,0.37,1.2,1.19,1.23,12300,0.13,1300,570.8,30.95,6.5,1.88,1.09,0.4,245.286,18.886,17.32522463,4.247957812,0.304,10900,3.859212348,22.81437915,3.627190615,7.58770072,14.64721415,122.8497384,56.35820302,4.617991878,14.14450334,24.61735039,9.526511458,10.47284705,-0.327024886,24.49327201,0.64903715,19.91492361,20.56396076,5.6,1.07875191,1.53470169,61.13864718,845.2482251,3449.98399,41.13758061,1321.595735,1603707.563,66359.46875,54416.88672,70103.4718,62951.48438,21159.93457,8217.252441,99416.75222,111168.3906,0.041378784,0.033931926,1.219464632,0.043713376,0.039253718,1.113611101,0.00512391,2.575062008,16.13116026
49,FR16,049FRAcrLOWfena,France,Fenay,1306,47.133361,5.45433,Agriculture ,Conventional ,10.8,11.3,842,2,22,3,179,0,0,0,2,2,0,6,1.6,9.6,0.715847751,3.519240136,1.485744831,382.35329,227.437486,167.6635636,3.948976,83.83178181,winter_wheat,1,wheat,8.2,1.213556312,1.374685666,2.03,1.35,3.38,0.1,2.06,1.36,27.539,40.15,815.03,0.093,155,200,197.255,3.882,26.453,0.77,150.4707624,4027.148315,2493,9.954374623,388.1140863,80,84.58,3.82,87.98,4.63,2.16,3.85,0.49,362,453.737,433.824,4.905,61.853,0.832,13.3,53.2,31.9,0.476,25.66,0.9,0.32,1.22,1.09,1.08,10800,0.117,1170,442.34,29.34,6.9,1.59,0.92,0.3,176.473,14.255,16.90450649,3.101796041,0.257995833,9200,4.985690833,21.83980967,3.743808393,5.714012866,11.71177593,93.1470604,51.16002005,3.777853859,12.00214034,24.26171729,8.224286483,12.25957695,-0.236149906,15.43609761,-0.122152053,12.12999893,12.00784687,2.6,1.014746036,1.36497679,60.26611186,471.1838487,1919.187428,46.81826725,877.7511134,1177312.656,33597.62784,31311.89844,61136.11471,40347.66406,21277.5332,7119.682861,58337.48234,103413.7891,0.028537558,0.026596077,1.072998749,0.051928529,0.034270985,1.515233066,0.006047402,2.988550701,20.18106728
50,FR17,050FRAcrLOWfena,France,Fenay,1064,47.133872,5.33897,Agriculture ,Conventional ,10.8,11.3,842,3,22,5,119,0,0,0,3,1,0,5,1.9,9.5,0.721763085,3.594059406,1.39131435,499.81791,274.423334,175.7168809,50.934824,87.85844047,winter_wheat,2,wheat,7.3,1.080361107,1.223805532,1.71,0.91,2.62,0.08,1.4,1.59,27.153,38.98,666.55,0.163,179,221.241,222.531,4.062,27.81,0.783,161.2315724,4720.047619,2708,10.16394195,515.2970837,80,85,4.13,87.08,4.63,1.7,2.58,0.39,311,440.6,394.69,4.782,65.331,0.833,14.3,54.4,26.4,0.598,34.4,0.46,0.53,1.06,1,9.02,90200,0.317,3170,873.08,21.59,7.9,4.89,2.83,52.4,487.691,76.736,1.571587723,9.893469922,0.667058333,28300,8.484144509,18.43614107,2.498867227,7.147384615,8.585266876,108.0437398,77.65465789,4.252376259,9.51277489,32.35760012,5.260398631,22.84482523,-0.29171459,13.09098108,-7.563524839,9.006976815,1.443451976,15,0.912106072,2.03524902,128.3422281,484.1676208,6131.406199,NA,1656.38728,1483370.5,64423.51136,48230.23828,61558.60709,53843.91992,39660.25684,6860.456787,60320.25345,102446.7344,0.043430492,0.032513953,1.33574939,0.041499145,0.036298362,1.143278706,0.004624911,5.780993608,24.59158268
51,FR18,051FRAcrHIGfena,France,Fenay,1246,47.143577,5.35308,Agriculture,Conventional,10.8,11.3,842,2,22,5,205,0,0,0,4,1,1,6,1.9,11.4,0.678813943,3.113460183,1.442249046,728.22655,267.0903333,223.9339075,179.1226867,111.9669537,winter_wheat,2,wheat,8.3,1.228355779,1.391450126,2.21,1.7,3.91,0.12,2.66,1.12,24.801,39.83,880.2,0.097,172,217,230.075,3.91,26.382,0.76,160.0200714,4329.70297,2668,10.1051244,469.2650766,69,82,9.63,77.36,4.23,1.54,2.22,0.36,398,501.213,498.089,5.196,106.944,0.868,13.2,54.4,30.4,0.497,25.81,0.78,0.41,1.2,0.66,1.31,13100,0.141,1410,750.85,55.21,7.1,1.99,1.15,0.4,252.577,29.472,45.0582212,1.198873986,0.4046875,11500,7.165204063,59.87901032,13.17435284,15.50667663,33.7086678,74.21292584,108.9678874,7.130626881,12.62070994,23.27849638,5.490083058,10.65778644,-0.507054461,22.98544016,-0.782730935,15.8866777,15.10394676,5.3,2.73425364,2.987389538,113.3960769,580.5696107,6455.526,27.99281772,1412.124299,1425372.094,74305.58239,40059.75,70267.53811,59398.76172,47563.875,8170.305908,96806.14911,126124.0703,0.052130656,0.028104767,1.854868849,0.049297681,0.04167246,1.182979848,0.005732051,5.82155375,14.723983
52,FR19,052FRAgrGRAfena,France,Fenay,C +,47.134469,5.42659,Grassland,Grassland,10.8,11.3,842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1.39,0.35,1.74,0.17,2.35,1.99,27.623,40.19,558.7,0.141,223,279.271,304.184,4.297,36.826,0.795,141.4966535,4027.015666,2314,9.704871367,321.5946844,55,71.5,12.9,67.5,4.18,1.38,2.14,0.34,289,389.088,394.302,4.697,61.752,0.829,14.8,46.6,36.2,0.654,26.43,0.59,0.62,1.04,3.82,6.09,60900,0.161,1610,499.38,16.55,7.77,2.42,1.4,37,683.302,92.715,2.725520037,11.32096349,1.021354167,14000,11.9600172,33.18183577,1.699656062,4.078181427,1.105202064,24.73696156,35.74390736,1.521927696,7.129018882,25.83068683,5.607091186,18.70166795,-0.085569613,15.87768722,-8.633950007,14.67971263,6.045762625,13,1.150721066,0.955730131,114.1085145,960.9150772,7270.57706,NA,757.3862441,1361032.469,73040.88778,55025.43945,44031.08232,73497.93359,22016.83301,2258.450684,120410.0233,49196.34375,0.053665794,0.040429189,1.327402171,0.032351236,0.054001602,0.599079187,0.001659366,9.748644576,11.30331539
53,FR20,053FRAgrGRAfena,France,Fenay,C +,47.13395,5.4291,Grassland,Grassland,10.8,11.3,842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2.95,1.25,4.2,0.12,3.5,1.45,42.74,40.28,1188.25,0.183,145,196.273,189.691,3.378,13.511,0.679,128.109472,3565.095238,2122,9.173024166,121.2439428,60,120,43.72,77.28,4.42,1.48,2.57,0.36,276,337.107,325.755,4.655,54.063,0.828,18.2,42,35.2,0.716,33.93,0.79,0.83,1.01,3.68,6.83,68300,0.265,2650,866.37,36.08,7.53,4.62,2.68,34.2,1092.208,152.746,11.69089718,33.820434,1.649166667,26800,2.497443872,8.654429372,2.305769533,7.244309605,0.671726283,30.54750135,71.32153916,8.709775195,25.02227601,58.69536878,16.31250081,33.67309278,-0.586763061,10.02513046,-12.41668169,1.810447601,-10.60623409,28,0.339104857,1.88558037,247.8304046,1292.807479,7014.445838,NA,501.2520832,1576768,93989.25568,68184.23047,40063.46608,85583.18359,15506.98096,1821.264832,137288.5931,46302.53906,0.059608805,0.043243033,1.378460313,0.025408599,0.054277601,0.46812311,0.001155062,8.514402018,11.48506198
54,FR21,054FRAcrHIGepoi,France,Epoisses,B6a,47.243276,5.100211,Agriculture,Conventional,10.6,11.3,765,5,,3,136,0,0,0,4,2,0,2,1.4,2.8,0.459183673,1.849056604,0.651756561,376.5666,376.5666,172.9132347,376.5666,86.45661735,winter_wheat,2,wheat,7.6,1.124759509,1.27409891,1.6,0.57,2.17,0.14,2.3,1.26,20.211,39.74,635.87,0.089,142,169.333,180.368,3.163,9.279,0.638,153.1216765,4268.72028,2504,9.874989112,316.2340446,88,89.91,2.16,91.63,4.67,2.33,4.39,0.52,344,433,428.754,4.778,61.703,0.818,11.1,55.5,32,0.456,22.37,0.96,0.49,1.26,0.49,1.04,10400,0.1,1000,786.49,68.55,6.81,1.38,0.8,0.2,140.633,13.623,37.44794809,3.825485961,0.260069444,8000,1.271993853,3.762101421,1.28361506,2.158374952,0.509220131,17.22012276,17.71872615,0.98517285,3.46286249,9.32512728,2.47768964,5.86226479,-0.067537812,15.51963256,1.722260426,14.57410319,16.29636361,3.1,0.163846331,0.477050426,72.90236314,533.0636691,2134.119464,NA,1250.25795,1614128.375,73278.66761,62315.09766,97775.22104,65837.47852,27247.21582,6452.124023,109294.4594,78962.91797,0.04539829,0.038606036,1.17593762,0.060574625,0.040788254,1.485099722,0.003997281,4.222983892,14.76862032
55,FR22,055FRAcrHIGepoi,France,Epoisses,D5,47.240649,5.09639,Agriculture,Conventional,10.6,11.3,765,3,,3,116,0,0,0,0,2,0,5,1.6,8,0.703440267,3.372001958,1.389665691,516.33198,257.718768,182.9044989,104.16084,91.45224945,winter_wheat,2,wheat,7.2,1.06556164,1.207041073,1.74,1.75,3.49,0.12,2.16,1.49,25.891,40.1,697.74,0.108,154,189.875,190.795,3.843,24.109,0.763,144.7122849,3827.880282,2349,9.656510846,263.0697852,78,87.55,6.57,91.27,4.82,1.96,3.65,0.45,383,483.41,455.175,4.986,60.269,0.838,11.2,42.8,43.4,0.498,38.86,0.84,0.44,1.11,2.43,1.83,18300,0.178,1780,698.21,40.97,7.52,2.6,1.51,0.3,288.524,23.587,15.31289378,3.102582236,0.515729167,15100,1.525405948,6.626934262,1.49120351,1.855358877,0.461106561,11.88361307,18.32029388,3.676726134,7.687240226,17.29549254,4.010514091,9.608252313,-0.262623295,26.97115193,9.423818992,23.2944258,32.71824479,15,0.242511607,0.484215666,108.2193831,697.1216211,4772.255946,24.380982,1329.412949,1679989.75,71058.60227,45994.29883,63216.99886,65984.94141,26662.2998,12673.84619,157281.8619,110598.5234,0.042297045,0.027377726,1.544943701,0.037629396,0.03927699,0.958051906,0.007544002,2.103726004,10.68139536
56,FR23,056FRAcrHIGepoi,France,Epoisses,H6,47.235864,5.103856,Agriculture,Conventional,10.6,11.3,765,2,,3,156,0,0,0,1,2,0,7,1.8,12.6,0.767573696,4.302439024,1.669304245,639.6205,255.6189848,187.4401858,109.6258914,93.72009289,winter_wheat,2,wheat,7.3,1.080361107,1.223805532,2.07,1.4,3.47,0.2,4.18,1.45,30.09,39.8,823.82,0.111,146,201.038,211.529,3.36,14.39,0.674,152.2870935,4085.940529,2504,9.884518012,350.2981877,71,79.27,5.92,83.07,4.59,1.89,3.26,0.44,317,423.731,380.069,4.84,69.566,0.84,11.5,43.2,42.8,0.508,35.64,1.21,0.51,1.09,2.21,1.86,18600,0.189,1890,1739.87,149.15,7.2,2.54,1.47,2.2,260.164,21.068,97.99125065,18.24740289,0.358,14700,6.795603083,10.54802166,3.304062571,2.703308165,0.824802418,28.5031462,20.19307206,15.35697832,27.51164146,37.71301614,12.15466314,10.20137469,-1.096927023,33.26532251,5.542520526,17.90834419,23.45086471,13,0.515339753,0.549513125,111.2987208,668.7436527,4809.820254,52.83967859,1676.368135,1389029.438,55967.43466,39241.14258,46122.13034,53709.65039,29723.82813,15259.75586,80810.19707,148644.0313,0.040292476,0.028250764,1.426243758,0.033204574,0.038667035,0.858730787,0.010985912,1.947857384,17.18878914
57,FR24,057FRAcrHIGepoi,France,Epoisses,G10,47.232725,5.111105,Agriculture,Conventional,10.6,11.3,765,2,,3,143,0,0,0,1,2,0,4,1.5,6,0.690844444,3.234617596,1.236598795,498.83409,291.80023,175.8244319,122.26749,87.91221597,winter_wheat,3,wheat,6.6,0.976764836,1.106454317,2.25,1.09,3.34,0.11,2.44,1.25,28.195,38.89,874.98,0.139,95,130.769,126.369,2.582,4.837,0.567,145.5190996,3928.237037,2356,9.801577392,363.7872356,69,100.67,19.54,96,4.94,1.88,3.51,0.44,327,373.884,374.058,4.809,58.127,0.831,10.9,41,45.1,0.536,36.58,0.84,0.62,1.08,2.97,2.3,23000,0.216,2160,968.72,59.66,7.91,2.98,1.73,1.9,413.212,35.292,19.02172944,3.999825175,0.773472222,17300,7.336272179,6.98164634,1.798903566,2.988038835,0.742346305,11.23409704,38.50380192,3.715621413,8.426506329,20.34975324,4.710884916,11.92324691,-0.265401529,20.1001722,6.815278798,16.38455079,23.19982959,28,0.404620041,0.995804178,129.0966305,590.7230405,6834.475268,235.7758722,1305.841585,1608061.188,68433.83239,50672.31836,62154.09299,70005.08203,32692.24023,8164.988281,87635.83337,112144.0469,0.042556734,0.031511437,1.350517099,0.038651572,0.043533842,0.887851156,0.005077536,4.003954336,18.34935694
58,FR25,058FRAgrGRAepoi,France,Epoisses,C +,47.233079,5.106059,Grassland,Grassland,10.6,11.3,765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2.49,1.15,3.64,0.16,4.11,1.5,37.32,39.86,992.46,0.151,99,147.75,148.414,2.188,3.537,0.476,142.78863,4024.68171,2378,9.707660092,300.5509272,67,98.67,19.54,92.62,4.66,1.91,3.68,0.45,323,388.395,376.689,4.619,36.514,0.799,8.3,43.8,44.2,0.614,37.85,1.25,0.78,1.32,3.32,2.7,27000,0.246,2460,898.98,58.92,7.09,3.75,2.18,0.4,633.159,73.739,35.80062351,13.48344344,1.05125,21800,3.494180372,29.33572898,3.405397484,8.272227244,1.312794338,27.62860854,30.85237058,3.381122016,9.844690284,26.01896318,6.463568267,16.17427289,-0.241508715,21.24420501,-1.06464913,17.863083,16.79843387,24,0.901154428,0.938990348,89.10899533,656.7013282,4200.503792,51.18706477,572.3077624,1958484.313,93724.90909,57709.79102,62837.50762,82387.55859,22807.45117,4622.870605,181252.1979,57463.38281,0.047855839,0.029466558,1.624072925,0.032084764,0.042066999,0.762706271,0.002360433,4.933612277,10.80529966
59,FR26,059FRAgrGRAepoi,France,Epoisses,C +,47.232674,5.111348,Grassland,Grassland,10.6,11.3,765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1.53,0.62,2.15,0.2,3.02,1.91,29.266,40.25,615.82,0.188,191,254,251.301,3.719,13.264,0.708,147.6960394,3922.794457,2373,9.737174489,330.4512161,71,96.67,14.7,98.48,5.15,1.71,3.06,0.4,354,425.25,417.76,5.001,75.623,0.852,13.9,39.4,40.8,0.788,39.68,1.12,1.44,1.17,4.2,4.67,46700,0.352,3520,1181.7,90.69,7.31,5.87,3.4,6.3,1327.031,138.917,32.83179517,50.24112863,2.833333333,34000,6.569339953,26.24016074,3.572292582,9.222263495,1.258527708,40.75538716,63.26175164,6.842801819,25.17314664,51.66638525,18.33034482,26.49323861,-0.484272941,-1.834891995,-13.51821713,-8.614713168,-22.1329303,39,0.903367704,1.739616363,81.24398791,993.9586416,9458.450017,39.13952253,391.2426624,1817823.875,109931.3466,69800.02734,55463.74619,96966.07813,10830.38428,2330.94928,100927.4586,33394.37695,0.060474146,0.038397574,1.574947042,0.030511067,0.053341844,0.571991229,0.001282275,4.646340601,18.01119239
60,FR27,060FRAcrHIGfrom,France,Fromenteau,SC1,47.38979,4.774691,Agriculture,Conventional,9.1,11.3,870,3,30,6,180,88.5,0,0,4,1,1,2,1.6,3.2,0.49744898,1.989847716,0.690593986,376.5666,376.5666,187.3226709,376.5666,93.66133546,winter_wheat,2,wheat,5.9,0.873168566,0.989103101,3.27,1.36,4.63,0.09,2.97,1.56,50.973,40.44,1322.36,0.135,125,170.769,156.81,3.449,13.42,0.714,145.5011327,4303.162162,2437,9.818713792,361.3882086,56,60.67,4.49,62.11,3.85,1.76,3.16,0.44,428,489.949,487.821,5.186,84.538,0.856,7.2,36.3,51.6,0.57,37.66,1.23,0.66,0.96,3.65,3.34,33400,0.332,3320,1213.3,39.7,7.33,4.87,2.82,2.6,612.671,78.662,12.04402583,6.342428008,1.302152778,28200,5.546270995,15.34165281,3.484597992,3.678860619,0.703233364,17.33045491,48.7018594,21.24961304,21.24961304,55.32731417,NA,34.07770113,-1.503024697,NA,-9.521911171,40.52474927,31.0028381,16,0.601818124,1.257137281,100.5172131,659.5536713,6935.627281,72.60552134,1583.494652,1783793.563,93022.95739,60347.61914,53146.73018,83846.16406,43928.48633,22164.3418,152526.604,112084.4727,0.052148948,0.033831056,1.541451986,0.029794216,0.04700441,0.633860008,0.012425396,1.981944094,11.69496675
61,FR28,061FRAcrLOWfrom,France,Fromenteau,SC2,47.389958,4.774793,Agriculture,Conventional,9.1,11.3,870,3,30,7,180,88.5,0,0,3,1,1,3,1.6,4.8,0.647699231,2.838483725,1.0690442,379.66853,253.1123533,184.6567615,129.6581067,92.32838073,winter_wheat,3,wheat,6.9,1.021163238,1.156747695,2.85,0.59,3.44,0.12,3.36,1.95,55.706,40.55,1155.6,0.119,140,164.667,172.48,3.368,9.109,0.682,143.2535415,4042.975,2374,9.775746068,342.8480758,61,83.67,14.91,84.75,4.72,1.8,3.26,0.44,426,539.135,489.682,5.051,55.451,0.834,7.2,37.7,50.4,0.541,37.55,1.3,0.72,1.22,3.42,3.31,33100,0.329,3290,1162.98,45.91,7.41,4.73,2.74,3.1,578.896,46.448,21.40540732,5.565559011,1.178888889,27400,6.741516523,21.57049853,3.865951558,4.603391205,1.548712342,13.49176046,53.72697691,11.85251371,17.85592092,55.93398239,6.003407206,38.07806147,-0.827358142,45.49873238,-20.15062564,33.91571839,13.76509276,35,0.809440295,1.399928835,437.4575693,710.4526165,6538.725449,70.57223701,2199.387023,1401389.688,99916.78409,66530.83984,51201.3186,91382.37109,33071.66797,22114.75195,122327.6847,92762.35547,0.071298358,0.047474903,1.501811556,0.036536103,0.065208394,0.56029755,0.015780587,1.495457333,11.4560305
